quarter,date,symbol,action,weight,cmc_rank,reason
2018Q1,2018-01-07,BTC,INITIAL,0.30,1,T1 고정
2018Q1,2018-01-07,ETH,INITIAL,0.20,3,T1 고정
2018Q1,2018-01-07,XRP,INITIAL,0.10,2,T1 고정
2018Q1,2018-01-07,BCH,INITIAL,0.0235,4,T3 균등
2018Q1,2018-01-07,ADA,INITIAL,0.0235,5,T3 균등
2018Q1,2018-01-07,XEM,INITIAL,0.0235,6,T3 균등
2018Q1,2018-01-07,LTC,INITIAL,0.0235,7,T3 균등
2018Q1,2018-01-07,TRX,INITIAL,0.0235,8,T3 균등
2018Q1,2018-01-07,XLM,INITIAL,0.0235,9,T3 균등
2018Q1,2018-01-07,MIOTA,INITIAL,0.0235,10,T3 균등
2018Q1,2018-01-07,DASH,INITIAL,0.0235,11,T3 균등
2018Q1,2018-01-07,EOS,INITIAL,0.0235,12,T3 균등
2018Q1,2018-01-07,XMR,INITIAL,0.0235,13,T3 균등
2018Q1,2018-01-07,NEO,INITIAL,0.0235,14,T3 균등
2018Q1,2018-01-07,QTUM,INITIAL,0.0235,15,T3 균등
2018Q1,2018-01-07,BTG,INITIAL,0.0235,16,T3 균등
2018Q1,2018-01-07,ETC,INITIAL,0.0235,17,T3 균등
2018Q1,2018-01-07,LSK,INITIAL,0.0235,18,T3 균등
2018Q1,2018-01-07,ICX,INITIAL,0.0235,19,T3 균등
2018Q1,2018-01-07,NANO,INITIAL,0.0235,20,T3 균등
2018Q2,2018-04-01,BCC,EXCLUDE,,26,사기 프로젝트 제외
2018Q2,2018-04-01,SC,EXCLUDE,,,유동성 미달 제외
2018Q2,2018-04-01,BCN,EXCLUDE,,,유동성 미달 제외
2018Q2,2018-04-01,XVG,EXCLUDE,,,유동성 미달 제외
2018Q2,2018-04-01,USDT,ADD,0.0235,,T3 균등 신규편입
2018Q2,2018-04-01,BNB,ADD,0.0235,,T3 균등 신규편입
2018Q2,2018-04-01,VEN,ADD,0.0235,,T3 균등 신규편입
2018Q2,2018-04-01,OMG,ADD,0.0235,,T3 균등 신규편입
2018Q2,2018-04-01,QTUM,REMOVE,,,순위 이탈
2018Q2,2018-04-01,BTG,REMOVE,,,순위 이탈
2018Q2,2018-04-01,LSK,REMOVE,,,순위 이탈
2018Q2,2018-04-01,ICX,REMOVE,,,순위 이탈
2018Q2,2018-04-01,NANO,REMOVE,,,순위 이탈
2018Q3,2018-07-01,ONT,ADD,0.0235,,T3 균등 신규편입
2018Q3,2018-07-01,BTG,REMOVE,,,순위 이탈
2018Q4,2018-10-01,BSV,EXCLUDE,,,포크코인 제외
2018Q4,2018-10-01,XTZ,ADD,0.0235,,T3 균등 신규편입
2018Q4,2018-10-01,VET,ADD,0.0235,,T3 균등 신규편입
2018Q4,2018-10-01,DOGE,ADD,0.0235,,T3 균등 신규편입
2018Q4,2018-10-01,MIOTA,REMOVE,,,순위 이탈
2018Q4,2018-10-01,DASH,REMOVE,,,순위 이탈
2019Q1,2019-01-03,BSV,EXCLUDE,,,포크코인 제외
2019Q1,2019-01-03,MKR,ADD,0.0235,,T3 균등 신규편입
2019Q1,2019-01-03,ZEC,ADD,0.0235,,T3 균등 신규편입
2019Q1,2019-01-03,WAVES,ADD,0.0235,21,BSV 제외 차순위
2019Q2,2019-04-01,BSV,EXCLUDE,,,포크코인 제외
2019Q2,2019-04-01,ZEC,HOLD,0.0235,,유지
2019Q2,2019-04-01,ONT,ADD,0.0235,,T3 균등 복귀
2019Q2,2019-04-01,WAVES,REMOVE,,,순위 이탈
2019Q3,2019-07-01,BSV,EXCLUDE,,,포크코인 제외
2019Q3,2019-07-01,LEO,EXCLUDE,,,중앙화 거래소 토큰 제외
2019Q3,2019-07-01,LINK,ADD,0.0235,,T3 균등 신규편입
2019Q3,2019-07-01,ATOM,ADD,0.0235,,T3 균등 신규편입
2019Q3,2019-07-01,XEM,ADD,0.0235,21,차순위 편입
2019Q3,2019-07-01,MKR,ADD,0.0235,22,차순위 편입
2019Q4,2019-10-01,BSV,EXCLUDE,,,포크코인 제외
2019Q4,2019-10-01,LEO,EXCLUDE,,,중앙화 거래소 토큰 제외
2019Q4,2019-10-01,HT,EXCLUDE,,,중앙화 거래소 토큰 제외
2019Q4,2019-10-01,XTZ,HOLD,0.0235,,유지
2019Q4,2019-10-01,ATOM,HOLD,0.0235,,유지
2019Q4,2019-10-01,XEM,ADD,0.0235,21,차순위 유지
2019Q4,2019-10-01,MKR,ADD,0.0235,22,차순위 유지
