date,krw_total,upbit,bithumb,coinone,stable_dom_pct,usdt_vol,usdc_vol,top10_share_pct,kimchi_btc,kimchi_eth,kimchi_xrp,kimchi_driver,kimchi_type,usdkrw
2026-01-25,4558200485769,3615369828342,843388095402,99442562025,3.6845,141275827761,26670769993,62.1252,0.0099,0.0081,,,Neutral,
2026-01-26,6542723473473,4944392220994,1339346092268,258985160210,7.6358,343835327061,155752553751,58.0538,0.0476,0.0288,,,Neutral,
2026-01-27,3314249801484,2245624394777,857454104838,211171301869,10.7443,230154532966,125936825627,56.3404,0.0128,-0.0414,,,Neutral,
2026-01-28,2987771816132,2075275912237,776708214663,135787689232,11.338,256321094930,82432458680,57.3737,0.06,0.0203,,,Neutral,
2026-01-29,3325777461719,2235704813486,956560246914,133512401319,7.3041,218953939382,23963622199,56.3136,-0.0493,-0.0527,,,Neutral,
2026-01-30,5151975852211,3459205074415,1373475028132,319295749663,13.143,513713448888,163409201752,67.8798,0.064,0.1133,,,Neutral,
2026-01-31,3578488205567,2562062180710,896876047873,119549976984,8.5747,261524726629,45321297283,63.2097,0.0487,0.054,,,Neutral,
2026-02-01,8188675304644,6161315416859,1751205534502,276154353283,8.1593,557365328807,110775709654,61.3354,0.0283,0.0397,,,Neutral,
2026-02-02,6710465906178,4639157847055,1530970913520,540337145603,13.3715,530334195964,366952844567,64.2262,-0.0347,0.264,,,Neutral,
2026-02-03,3641932750233,2515847286832,910786169160,215299294241,12.0639,320298827165,119060713413,63.8624,0.0527,0.0227,,,Neutral,
2026-02-04,3731472636427,2614400495617,976613457368,140458683442,9.9152,324786926371,45194390846,69.3392,-0.0113,-0.003,,,Neutral,
2026-02-05,4551996795204,3142998686392,1205635514201,203362594611,10.0822,417031362411,41912170362,71.5552,-0.0607,-0.079,,,Neutral,
2026-02-06,10389083677322,6883432296085,3051390863093,454260518144,9.4316,841488780066,138369225370,81.458,0.7225,0.7945,0.7863,BTC,Retail-driven,1470.68
2026-02-07,7792410247080,5465486967107,2093377974969,233545305004,6.6946,484529692365,37142511457,72.3913,0.9209,0.9233,0.8871,BTC,Retail-driven,1470.68
2026-02-08,3153911573632,2062096888752,791130968078,300683716803,12.1786,161402458288,222699912502,64.7973,0.7147,0.7014,0.6807,ETH,Neutral,1470.68
2026-02-09,3037152461810,1939958739371,997908175889,99285546550,12.4613,353555593219,24913198348,69.7813,1.7061,1.7125,1.6541,ETH,Retail-driven,1462.4
2026-02-10,3750571072616,2259610614658,1320024444932,170936013025,14.968,447186360392,114200602301,69.8834,1.4563,1.4641,1.4186,ETH,Retail-driven,1458.54
2026-02-11,3568315394067,2037424754139,1225719741684,305170898245,19.0905,442861701985,238349278691,69.5055,1.7801,1.8245,1.8527,ETH,Retail-driven,1455.33
2026-02-12,4491881816806,2772800586616,1641705230832,77375999358,11.3493,487680029915,22117456163,71.2986,2.1726,2.0692,2.0594,ETH,Neutral,1444.19
2026-02-13,4284162040239,2721383715960,1504295707521,58482616758,10.933,460336205440,8052932222,57.9793,1.8618,1.8309,1.8916,XRP,Neutral,1440.9
2026-02-14,4102983122450,2632994488025,1415931582543,54057051882,8.3203,332734002738,8647050790,55.2685,1.7713,1.7371,1.8154,XRP,Neutral,1440.9
2026-02-15,5076493191959,3071488725623,1917977154911,87027311425,8.1149,395817806518,16134896034,64.128,2.3563,2.3584,2.2669,XRP,Constraint-driven,1440.9
2026-02-16,4053307863630,2477663491809,1388527616360,187116755461,10.5766,317240278673,111460040916,66.0225,2.9497,2.9247,2.8596,ETH,Retail-driven,1439.52
2026-02-17,2824585813175,1666172489741,775671372940,382741950494,17.4677,154548668653,338840189563,63.1477,2.9822,2.9366,3.0139,ETH,Retail-driven,1440.23
2026-02-18,3108372853984,2012453315745,789397727944,306521810295,13.8342,168759286727,261259049158,61.7686,2.6764,2.6371,2.6146,BTC,Neutral,1439.97
2026-02-19,2763629541838,1824107328194,801109031742,138413181902,13.151,282824019264,80621174014,60.6378,2.7506,2.7311,2.6884,ETH,Neutral,1440.16
2026-02-20,3200850834646,1973815959800,787032862898,440002011948,20.4466,273379758918,381085112097,64.3836,1.9504,1.9134,1.9624,XRP,Neutral,1447.75
2026-02-21,3204258124581,2133742505175,740568271746,329947347659,14.0981,173669757127,278068168449,64.4947,1.6802,1.7457,1.6964,XRP,Neutral,1447.75
2026-02-22,2777112802763,1845840260483,599287102748,331985439532,14.2692,113889794688,282381369520,56.3237,1.5523,1.5244,1.5546,XRP,Neutral,1447.75
2026-02-23,3463388232910,2161171939096,896283485546,405932808268,18.7498,324540938374,324835964531,66.1271,1.9421,1.957,1.9959,XRP,Neutral,1443.44
2026-02-24,3584113133532,2153534332834,921682030956,508896769741,21.679,338591609580,438407410545,67.4507,2.033,2.0027,2.0815,XRP,Retail-driven,1442.2
2026-02-25,3550088199307,2235780435042,971261396200,343046368065,17.7713,348480532133,282414659433,71.7952,1.358,1.347,1.3636,ETH,Neutral,1439.99
2026-02-26,4284213169588,2715592024251,1278599461206,290021684131,15.4437,457553501498,204088744348,67.5815,0.9462,0.9262,0.9417,BTC,Neutral,1426.93
2026-02-27,3340310944676,2112648722148,1011822312679,215839909850,15.7508,372816299231,153309982568,59.7455,1.1057,1.0605,1.0905,BTC,Neutral,1432.32
2026-02-28,4165657220630,2608568418918,1091748829100,465339972612,18.823,386149310474,397953250424,65.008,2.1324,2.166,2.1462,XRP,Neutral,1432.32
2026-03-01,3392441178145,2242202576558,848123663344,302114938243,11.6914,193559622787,203064683530,63.303,1.4204,1.5012,1.4718,ETH,Neutral,1432.32
2026-03-02,2885861423513,1853077856985,717023650727,315759915800,15.1971,191941583742,246624965044,60.3465,1.7593,1.839,1.8094,XRP,Neutral,1438.5
2026-03-03,3778493492476,2452842015092,1026675661024,298975816360,14.9337,361035875938,203232946670,69.4981,0.7476,0.786,0.7721,ETH,Neutral,1452.27
2026-03-04,3804972813323,2484265841608,1022876217104,297830754611,17.1461,452360176105,200042614859,69.1413,-1.2166,-1.1758,-1.2099,BTC,Neutral,1483.07
2026-03-05,3846168662021,2556620759248,986098181887,303449720886,13.8037,316414913339,214497840255,68.411,-0.1949,-0.209,-0.2968,BTC,Neutral,1460.75
2026-03-06,2810910202068,1838811951539,705990016737,266108233791,16.2147,247288731045,208493254331,59.556,-0.7423,-0.7691,-0.8119,BTC,Neutral,1479.51
2026-03-07,2618570504535,1701558858403,637569785957,279441860175,17.9089,236288245656,232667748322,57.6318,-0.1566,-0.123,-0.138,XRP,Neutral,1479.51
2026-03-08,2007213704902,1118721643886,443757723690,444734337325,24.9018,135513012292,364318883671,61.2577,-0.0444,-0.0265,0.0302,BTC,Neutral,1479.51
2026-03-09,2164598704321,1368410348738,627717690628,168470664955,15.7218,239836706451,100476731539,65.7576,1.3758,1.251,1.3786,XRP,Neutral,1474.5
2026-03-10,2414699235587,1571794328067,682008440313,160896467207,15.0076,269401753913,92986624135,64.5215,-1.2083,-1.1895,-1.171,XRP,Reverse/Outflow,1493.1
2026-03-11,2560015747378,1665235268155,692132186570,202648292653,13.793,251120417246,101983747560,59.067,-0.1163,-0.1007,-0.04,BTC,Neutral,1472.8
2026-03-12,2172391055878,1370438706009,634902806012,167049543857,14.7316,215060140948,104967892209,58.3481,0.1767,0.1857,0.2237,BTC,Neutral,1467.3
2026-03-13,3038823201178,1947143307602,862450120335,229229773241,15.2217,306606761273,155954850812,67.7102,-0.3537,-0.3943,-0.4033,BTC,Neutral,1479.8
2026-03-14,3290728814589,2324216559657,828294823178,138217431753,8.1913,207278432398,62274298453,63.5169,0.285,0.3204,0.3095,BTC,Constraint-driven,1470.58
2026-03-15,1963978363747,1212658689413,573775785807,177543888528,11.2216,96527661590,123862321732,46.4771,0.3257,0.2713,0.301,ETH,Constraint-driven,1470.58
2026-03-16,3744582090949,2481456224511,976100018478,287025847960,11.5817,238370288622,195314782876,58.8552,-0.408,-0.4203,-0.382,ETH,Reverse/Outflow,1489.5
2026-03-17,5298808162195,3822848673349,1285409935040,190549553807,7.6273,326724922165,77430999289,61.6455,-0.5913,-0.603,-0.5697,ETH,Reverse/Outflow,1496.0
2026-03-18,3007193833414,2000805423381,725106480479,281281929554,14.3653,204074867516,227917560159,56.7978,-0.0477,-0.0283,-0.087,BTC,Neutral,1491.6
2026-03-19,3359922568413,2303189167195,866568420073,190164981146,11.6119,280416923493,109734669232,64.098,0.9413,0.922,0.895,ETH,Neutral,1486.0
2026-03-20,2317624050087,1462448106294,718074700354,137101243438,14.5119,257734415153,78598006354,60.4714,0.3927,0.3773,0.4083,XRP,Neutral,1499.7
2026-03-21,1769983142934,1104904573737,486830222056,178248347141,13.8755,128560424433,117034404321,49.507,0.5121,0.4921,0.5126,XRP,Constraint-driven,1489.84
2026-03-22,2124024952453,1337471226548,580033120873,206520605032,15.2245,156667281256,166704701946,57.6306,0.7385,0.7145,0.7423,XRP,Neutral,1489.84
2026-03-23,2553656899980,1677955405894,731090545290,144610948795,11.8669,226733199403,76306702490,64.0226,1.068,1.0547,1.0415,ETH,Neutral,1494.9
2026-03-24,2615066588777,1590431525429,775044019028,249591044320,14.2543,220635168895,152122998598,58.7617,0.6048,0.5372,0.523,BTC,Reverse/Outflow,1509.6
2026-03-25,2696322036555,1710743998314,686570231860,299007806381,13.67,201005941476,167580409603,54.1168,0.458,0.4013,0.453,BTC,Neutral,1498.3
2026-03-26,2514382197391,1534494871823,690913623204,288973702363,13.9714,193018194486,158275568737,51.5556,1.234,1.2423,1.2553,ETH,Neutral,1495.6
2026-03-27,2450592615376,1464352175959,773013058864,213227380553,13.8912,267133299468,73284027797,56.5437,1.782,1.7807,1.7507,BTC,Neutral,1506.2
2026-03-28,1831969119456,1130927087751,579235812426,121806219278,14.4639,190927287161,74047493025,56.86,0.7625,0.7239,0.7195,ETH,Constraint-driven,1508.36
2026-03-29,1451022960923,826673973108,533302778910,91046208904,9.8143,83956682787,58451425082,45.9275,0.5529,0.5326,0.548,ETH,Constraint-driven,1508.36
2026-03-30,2057262643093,1166595373205,704305397463,186361872425,12.0723,188104892613,60254766731,54.4301,1.5365,1.5212,1.5065,XRP,Neutral,1508.1
2026-03-31,2441539692231,1345116516201,884969044189,211454131842,12.9572,251542497969,64813693637,52.809,2.2057,2.1747,2.225,XRP,Neutral,1513.4
2026-04-01,2775077351544,1589718368608,768570429881,416788553055,9.9807,216226960276,60745370198,55.3915,0.447,0.431,0.4043,ETH,Reverse/Outflow,1530.5
2026-04-02,2784731813662,1727002766584,804861134645,252867912433,12.281,268794208569,73199187928,58.0347,2.1757,2.111,2.1767,XRP,Neutral,1507.8
2026-04-03,2220277538123,1253733211915,620852378888,345691947320,11.1489,176913273675,70623024474,55.4686,1.5577,1.4967,1.455,ETH,Neutral,1518.8
2026-04-04,1603723808766,1051029249722,481738837551,70955721493,8.0257,97351481507,31358128515,43.5926,0.5407,0.6202,0.6304,XRP,Constraint-driven,1509.22
2026-04-05,1556646105040,954609476014,443177513965,158859115062,10.8622,77573362170,91512644444,42.3436,0.6131,0.6064,0.692,XRP,Constraint-driven,1509.22
2026-04-06,2321555371804,1430563848866,670343487045,220648035893,12.3623,209470399167,77527022937,53.4193,0.0475,0.0242,0.086,XRP,Neutral,1507.6
2026-04-07,2832235017927,1953814943386,666559517610,211860556931,10.2327,218180960418,71633024052,50.9584,0.0193,-0.0007,0.1007,BTC,Neutral,1507.2
2026-04-08,2900666956551,1837775156898,837115801899,225775997754,14.3469,348829141953,67328010348,61.5401,-1.1343,-1.177,-1.2037,XRP,Reverse/Outflow,1506.8
2026-04-09,1973657425100,1167606883985,581177163172,224873377943,11.9935,188636873600,48072823946,57.0348,0.227,0.259,0.2973,XRP,Neutral,1476.1
2026-04-10,2075866198089,1233893759251,637539059766,204433379071,12.5663,185512630994,75345951140,54.4797,0.381,0.3857,0.4387,XRP,Neutral,1481.1
2026-04-11,2158192887228,1331262486630,621422956826,205507443772,13.6026,154292671967,139278557482,49.9183,0.3693,0.336,0.332,XRP,Neutral,1481.1
2026-04-12,1832905077184,1090432008554,619655417969,122817650660,12.1524,153265153203,69477519977,55.0413,0.497,0.4633,0.4593,ETH,Neutral,1481.1
2026-04-13,1770562419536,1093367402111,612731327759,64463689666,11.0485,165141282584,30479898349,53.4019,0.9325,0.925,0.9015,XRP,Neutral,1479.8
2026-04-14,2851494734930,1841409579833,865863435280,144221719818,13.3937,318796615039,63123160682,61.8223,-0.5863,-0.5933,-0.6187,XRP,Reverse/Outflow,1489.8
2026-04-15,2560500021087,1653898642997,796858628247,109742749843,11.8296,257178005631,45719901515,57.8431,-0.1707,-0.151,-0.1703,XRP,Neutral,1481.4
2026-04-16,2833007222395,1856353312786,855472022778,121181886831,9.2151,207796997212,53266129493,54.317,0.014,0.081,0.009,BTC,Neutral,1473.1
2026-04-17,3526174936150,2272426246241,1104251504699,149497185209,9.8642,281275521986,66553760199,57.8748,0.249,0.2777,0.2923,BTC,Neutral,1472.6
2026-04-18,3465217266211,2083431099060,1244693729923,137092437228,9.4159,264034086835,62247820602,57.2952,0.195,0.1927,0.1983,XRP,Neutral,1472.6
2026-04-19,2454982836178,1415803940051,941415066787,97763829340,8.4315,153766340929,53225602061,47.8208,0.8123,0.8187,0.717,XRP,Neutral,1472.6
2026-04-20,2650027012029,1540816048272,991356443652,117854520106,10.2232,237954761544,32961879893,60.3868,0.641,0.6287,0.686,ETH,Neutral,1480.0
